,Gene_ID,Gene_Name,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Gene,Chromosome,Start,End,Biotype
11,ENSG00000004779.10,NDUFAB1,1132.313117,-0.562466056,0.187922878,-2.993068555,0.002761877,0.019144038,ENSG00000004779.10,16,23581014,23596316,protein_coding
12,ENSG00000004799.8,PDK4,8202.866978,-1.037136353,0.328682472,-3.155435543,0.001602587,0.012433019,ENSG00000004799.8,7,95583499,95596516,protein_coding
13,ENSG00000005007.13,UPF1,730.590878,1.131617559,0.165820289,6.824361281,8.83e-12,1.3e-09,ENSG00000005007.13,19,18831959,18868230,protein_coding
14,ENSG00000005059.16,MCUB,50.19412324,-0.859315434,0.300169864,-2.862763846,0.004199634,0.026763104,ENSG00000005059.16,4,109560209,109688719,protein_coding
15,ENSG00000005194.15,CIAPIN1,320.2016092,0.491203194,0.137935056,3.561119329,0.000369277,0.003822267,ENSG00000005194.15,16,57428187,57447420,protein_coding
16,ENSG00000005206.17,SPPL2B,213.4514304,1.203166911,0.406707697,2.958308683,0.003093322,0.02095482,ENSG00000005206.17,19,2328615,2355095,protein_coding
17,ENSG00000005421.9,PON1,17142.77838,-0.461758807,0.160337415,-2.879919246,0.00397777,0.025589436,ENSG00000005421.9,7,95297676,95324532,protein_coding
18,ENSG00000005436.14,GCFC2,603.398016,-0.600149442,0.1166878,-5.143206407,2.7e-07,9.52e-06,ENSG00000005436.14,2,75652000,75710985,protein_coding
19,ENSG00000005471.19,ABCB4,3546.24672,1.062825243,0.217373377,4.889399328,1.01e-06,2.89e-05,ENSG00000005471.19,7,87401696,87480435,protein_coding
20,ENSG00000005486.17,RHBDD2,577.8277025,0.616861515,0.217178994,2.840336921,0.004506591,0.028210395,ENSG00000005486.17,7,75842602,75888926,protein_coding
21,ENSG00000005810.20,MYCBP2,767.5304392,0.889435939,0.236595869,3.759304602,0.000170386,0.002030036,ENSG00000005810.20,13,77042474,77327094,protein_coding
22,ENSG00000005882.12,PDK2,688.2934337,0.868764429,0.226105134,3.842302969,0.000121885,0.001545234,ENSG00000005882.12,17,50094737,50112152,protein_coding
23,ENSG00000006125.18,AP2B1,1233.937738,0.543300446,0.151991346,3.57454856,0.000350833,0.003671971,ENSG00000006125.18,17,35578046,35726413,protein_coding
24,ENSG00000006210.7,CX3CL1,307.0892705,0.659075569,0.227002156,2.90338903,0.003691478,0.024151555,ENSG00000006210.7,16,57372477,57385044,protein_coding
25,ENSG00000006282.21,SPATA20,726.9982507,1.022139354,0.251436798,4.065193958,4.8e-05,0.000724344,ENSG00000006282.21,17,50543058,50555852,protein_coding
26,ENSG00000006432.16,MAP3K9,91.42069199,1.018266933,0.246363995,4.133180796,3.58e-05,0.000566666,ENSG00000006432.16,14,70722526,70809534,protein_coding
27,ENSG00000006576.17,PHTF2,193.5332236,-0.727038509,0.273890775,-2.654483376,0.007942995,0.043903309,ENSG00000006576.17,7,77798773,77957503,protein_coding
28,ENSG00000006607.14,FARP2,402.1337633,0.420368012,0.141496914,2.970863469,0.002969638,0.020279638,ENSG00000006607.14,2,241356285,241494841,protein_coding
29,ENSG00000006625.18,GGCT,331.7371053,-0.766926546,0.203269812,-3.772948561,0.00016133,0.001942857,ENSG00000006625.18,7,30496621,30504841,protein_coding
30,ENSG00000006712.15,PAF1,534.9295976,0.62462686,0.17497738,3.569757769,0.000357311,0.00372402,ENSG00000006712.15,19,39385629,39391154,protein_coding
31,ENSG00000006715.16,VPS41,639.3693771,0.577437444,0.211513597,2.730025173,0.006332949,0.036820435,ENSG00000006715.16,7,38722974,38932394,protein_coding
32,ENSG00000006744.19,ELAC2,749.0935803,0.652467078,0.114322988,5.707225551,1.15e-08,6.29e-07,ENSG00000006744.19,17,12991612,13018065,protein_coding
33,ENSG00000007047.16,MARK4,157.9021318,0.754963235,0.193030071,3.911117229,9.19e-05,0.001223863,ENSG00000007047.16,19,45079288,45305284,protein_coding
34,ENSG00000007080.11,CCDC124,171.7478726,1.184002073,0.30173272,3.924009545,8.71e-05,0.001169144,ENSG00000007080.11,19,17933015,17943991,protein_coding
35,ENSG00000007168.14,PAFAH1B1,1100.631865,0.258502248,0.098597986,2.6217802,0.008747182,0.047394945,ENSG00000007168.14,17,2593183,2685615,protein_coding
36,ENSG00000007202.15,KIAA0100,1446.872361,1.352594789,0.153113483,8.833936534,1.01e-18,9.72e-16,ENSG00000007202.15,17,28614446,28645454,protein_coding
37,ENSG00000007372.25,PAX6,16.1267629,-1.47688763,0.304369893,-4.852278962,1.22e-06,3.38e-05,ENSG00000007372.25,11,31784779,31817961,protein_coding
38,ENSG00000007376.8,RPUSD1,74.16626741,1.519361607,0.327685898,4.6366402,3.54e-06,8.28e-05,ENSG00000007376.8,16,784974,788397,protein_coding
39,ENSG00000007384.15,RHBDF1,55.26783162,0.965778913,0.299955831,3.219737089,0.001283082,0.010418422,ENSG00000007384.15,16,58059,76355,protein_coding
40,ENSG00000007520.4,TSR3,266.9390116,0.743821395,0.231573709,3.212028678,0.001318012,0.01062256,ENSG00000007520.4,16,1349240,1351878,protein_coding
41,ENSG00000007541.17,PIGQ,239.8081716,1.506398235,0.32463389,4.640298758,3.48e-06,8.15e-05,ENSG00000007541.17,16,566995,584109,protein_coding
42,ENSG00000007923.17,DNAJC11,364.2419854,1.205642605,0.145085288,8.309888768,9.58e-17,5.53e-14,ENSG00000007923.17,1,6634168,6701924,protein_coding
43,ENSG00000007933.13,FMO3,21814.02815,-0.422677924,0.134042682,-3.153308463,0.001614311,0.012488583,ENSG00000007933.13,1,171090901,171117819,protein_coding
44,ENSG00000007952.18,NOX1,11.64324052,-1.969436643,0.432233367,-4.556419731,5.2e-06,0.000114238,ENSG00000007952.18,X,100843324,100874359,protein_coding
45,ENSG00000008324.12,SS18L2,335.8622333,-1.140236779,0.19492057,-5.84975088,4.92e-09,3.04e-07,ENSG00000008324.12,3,42581840,42596934,protein_coding
46,ENSG00000008441.19,NFIX,316.3405896,0.93369106,0.274120473,3.406133982,0.000658898,0.006083477,ENSG00000008441.19,19,12995475,13098796,protein_coding
47,ENSG00000008513.16,ST3GAL1,4781.607028,0.684486239,0.233512367,2.931263333,0.003375865,0.022451511,ENSG00000008513.16,8,133454848,133571926,protein_coding
48,ENSG00000008710.20,PKD1,299.8663071,1.642742109,0.313575545,5.238744336,1.62e-07,6.04e-06,ENSG00000008710.20,16,2088708,2135898,protein_coding
49,ENSG00000008838.21,MED24,394.2800805,0.90051729,0.174520499,5.159951371,2.47e-07,8.82e-06,ENSG00000008838.21,17,40019097,40061215,protein_coding
50,ENSG00000008988.11,RPS20,10611.95396,-1.212192731,0.188771696,-6.421475029,1.35e-10,1.34e-08,ENSG00000008988.11,8,56067254,56074510,protein_coding
51,ENSG00000009335.18,UBE3C,914.6239665,0.501014236,0.13768685,3.638795098,0.000273917,0.002992684,ENSG00000009335.18,7,157138926,157269370,protein_coding
52,ENSG00000009780.16,FAM76A,151.7751986,-0.612506248,0.1749862,-3.500311724,0.000464714,0.004597087,ENSG00000009780.16,1,27725961,27763116,protein_coding
53,ENSG00000009830.13,POMT2,198.8614952,0.92148242,0.268098557,3.437103244,0.000587971,0.005554732,ENSG00000009830.13,14,77274956,77320883,protein_coding
54,ENSG00000009954.11,BAZ1B,724.029559,0.632046359,0.127315869,4.964395728,6.89e-07,2.11e-05,ENSG00000009954.11,7,73440406,73522293,protein_coding
55,ENSG00000010165.20,METTL13,327.1003492,0.422698259,0.113210753,3.733728875,0.000188666,0.002203092,ENSG00000010165.20,1,171781660,171814023,protein_coding
56,ENSG00000011052.21,NME1-NME2,1140.246164,-0.527205787,0.173207242,-3.043786053,0.002336212,0.016760604,ENSG00000011052.21,17,51153590,51171744,protein_coding
57,ENSG00000011105.14,TSPAN9,1329.344239,0.896432918,0.181281046,4.944989783,7.61e-07,2.27e-05,ENSG00000011105.14,12,3077355,3286564,protein_coding
58,ENSG00000011132.12,APBA3,90.5197878,1.340610268,0.312654243,4.287836481,1.8e-05,0.000323395,ENSG00000011132.12,19,3750772,3761692,protein_coding
59,ENSG00000011258.16,MBTD1,511.881122,-0.388128264,0.145890901,-2.660400765,0.007804772,0.043323578,ENSG00000011258.16,17,51177425,51260163,protein_coding
60,ENSG00000011275.19,RNF216,284.583508,0.781107936,0.14404964,5.42249141,5.88e-08,2.5e-06,ENSG00000011275.19,7,5620047,5781696,protein_coding
61,ENSG00000011347.10,SYT7,1747.504845,1.607735246,0.31694107,5.072663017,3.92e-07,1.32e-05,ENSG00000011347.10,11,61513714,61581148,protein_coding
62,ENSG00000011376.12,LARS2,356.3716604,0.780658778,0.170459241,4.579738681,4.66e-06,0.000104263,ENSG00000011376.12,3,45388561,45554726,protein_coding
63,ENSG00000011451.21,WIZ,222.5066449,0.797072114,0.204974676,3.888637034,0.000100809,0.001322585,ENSG00000011451.21,19,15419978,15449956,protein_coding
64,ENSG00000011485.15,PPP5C,462.6911725,0.762039737,0.126352997,6.031038104,1.63e-09,1.15e-07,ENSG00000011485.15,19,46347087,46392981,protein_coding
65,ENSG00000011600.12,TYROBP,408.0692155,-0.814653075,0.290802062,-2.801400615,0.005088131,0.031113805,ENSG00000011600.12,19,35904401,35908295,protein_coding
66,ENSG00000012171.20,SEMA3B,42.99187647,1.408369399,0.477200344,2.951316814,0.003164222,0.021317351,ENSG00000012171.20,3,50267558,50277546,protein_coding
67,ENSG00000012232.10,EXTL3,345.2282263,1.269116702,0.155019737,8.186807232,2.68e-16,1.41e-13,ENSG00000012232.10,8,28600469,28756561,protein_coding
68,ENSG00000012504.15,NR1H4,2142.645559,-0.288995863,0.073154502,-3.950486349,7.8e-05,0.001066881,ENSG00000012504.15,12,100473708,100564414,protein_coding
69,ENSG00000012660.14,ELOVL5,1595.486214,1.278870111,0.332000074,3.852017548,0.000117149,0.00150047,ENSG00000012660.14,6,53267398,53349179,protein_coding
70,ENSG00000012822.16,CALCOCO1,689.0918502,0.56572741,0.188704661,2.99795144,0.00271801,0.018904309,ENSG00000012822.16,12,53708517,53727745,protein_coding
71,ENSG00000013288.9,MAN2B2,1003.714122,0.642000885,0.132305182,4.852424332,1.22e-06,3.38e-05,ENSG00000013288.9,4,6575189,6623362,protein_coding
72,ENSG00000013293.6,SLC7A14,1.804425988,3.523748167,1.06929656,3.295389041,0.000982855,0.008394029,ENSG00000013293.6,3,170459548,170586075,protein_coding
73,ENSG00000013374.17,NUB1,689.965108,0.462518782,0.110690454,4.178488434,2.93e-05,0.000481071,ENSG00000013374.17,7,151341772,151378449,protein_coding
74,ENSG00000014216.16,CAPN1,672.9763972,1.266097139,0.190025525,6.662774055,2.69e-11,3.35e-09,ENSG00000014216.16,11,65180566,65212006,protein_coding
75,ENSG00000014641.21,MDH1,3256.798798,-0.485326447,0.15877144,-3.056761646,0.002237421,0.016169115,ENSG00000014641.21,2,63588609,63607197,protein_coding
76,ENSG00000015520.15,NPC1L1,1246.998365,0.75338089,0.244324776,3.083522272,0.002045658,0.01507916,ENSG00000015520.15,7,44512535,44541330,protein_coding
77,ENSG00000015676.18,NUDCD3,796.6538681,0.407812718,0.118293594,3.44746239,0.000565879,0.005391386,ENSG00000015676.18,7,44379119,44490658,protein_coding
78,ENSG00000018189.13,RUFY3,689.9193243,-0.467797291,0.17953628,-2.605586412,0.009171714,0.049126274,ENSG00000018189.13,4,70704204,70808619,protein_coding
79,ENSG00000019169.11,MARCO,1300.278549,1.316660503,0.495990278,2.6546095,0.007940026,0.043893907,ENSG00000019169.11,2,118942194,118994660,protein_coding
80,ENSG00000019485.14,PRDM11,69.89486578,0.742061688,0.183279207,4.04880456,5.15e-05,0.000766619,ENSG00000019485.14,11,45095806,45235110,protein_coding
81,ENSG00000020129.16,NCDN,68.96062108,0.767665096,0.182498295,4.20642338,2.59e-05,0.000435843,ENSG00000020129.16,1,35557473,35567274,protein_coding
82,ENSG00000021488.13,SLC7A9,273.556512,0.476029257,0.143611162,3.314709326,0.000917385,0.007952581,ENSG00000021488.13,19,32830509,32869767,protein_coding
83,ENSG00000023191.17,RNH1,808.7398468,1.447313092,0.197950445,7.311491966,2.64e-13,6.14e-11,ENSG00000023191.17,11,494512,507300,protein_coding
84,ENSG00000023572.10,GLRX2,344.7346734,-0.712122442,0.205397908,-3.467038434,0.000526227,0.005086417,ENSG00000023572.10,1,193090866,193106114,protein_coding
85,ENSG00000023608.5,SNAPC1,75.89767283,-0.745606999,0.249444336,-2.989071675,0.002798265,0.019337476,ENSG00000023608.5,14,61762420,61796428,protein_coding
86,ENSG00000023839.12,ABCC2,5454.195911,0.67297398,0.168409269,3.996062604,6.44e-05,0.00091727,ENSG00000023839.12,10,99782640,99852594,protein_coding
87,ENSG00000023902.14,PLEKHO1,185.0835872,-0.958166125,0.32864247,-2.915527399,0.003550879,0.023407641,ENSG00000023902.14,1,150149183,150164720,protein_coding
88,ENSG00000024862.18,CCDC28A,761.2966361,-0.587332107,0.139189367,-4.219662162,2.45e-05,0.000415342,ENSG00000024862.18,6,138773769,138793319,protein_coding
89,ENSG00000025039.15,RRAGD,222.4367184,-0.692420621,0.264176995,-2.621048137,0.008765988,0.047444867,ENSG00000025039.15,6,89364616,89412273,protein_coding
90,ENSG00000025708.14,TYMP,381.0212256,1.728594655,0.328698616,5.258904574,1.45e-07,5.48e-06,ENSG00000025708.14,22,50525752,50530032,protein_coding
91,ENSG00000025800.14,KPNA6,574.8391207,0.867125428,0.213871718,4.054418405,5.03e-05,0.000751998,ENSG00000025800.14,1,32108056,32176563,protein_coding
92,ENSG00000026036.22,RTEL1-TNFRSF6B,75.77064692,1.401303414,0.340431331,4.116258661,3.85e-05,0.000602184,ENSG00000026036.22,20,63659300,63698684,protein_coding
93,ENSG00000028116.18,VRK2,274.4211588,-0.499705351,0.145012773,-3.44594024,0.000569076,0.005409989,ENSG00000028116.18,2,57907629,58159920,protein_coding
94,ENSG00000028277.22,POU2F2,27.20413155,-1.394202955,0.268003575,-5.20218043,1.97e-07,7.22e-06,ENSG00000028277.22,19,42086110,42196585,protein_coding
95,ENSG00000028839.10,TBPL1,245.3690009,-0.750738288,0.172278818,-4.357693505,1.31e-05,0.000247464,ENSG00000028839.10,6,133952170,133990432,protein_coding
96,ENSG00000030110.14,BAK1,90.77188536,0.669581734,0.236187046,2.834963842,0.004583087,0.028570441,ENSG00000030110.14,6,33572547,33580293,protein_coding
97,ENSG00000030582.18,GRN,1532.946481,1.406472661,0.197174792,7.133126135,9.81e-13,1.89e-10,ENSG00000030582.18,17,44345246,44353106,protein_coding
98,ENSG00000031698.13,SARS,1531.42574,0.532255302,0.146499111,3.633164047,0.000279967,0.00304629,ENSG00000031698.13,1,109213918,109238182,protein_coding
99,ENSG00000031823.14,RANBP3,308.2671004,0.59326529,0.210825818,2.814006819,0.004892819,0.030105576,ENSG00000031823.14,19,5916139,5978142,protein_coding
100,ENSG00000032444.17,PNPLA6,353.1815414,0.965715355,0.306259354,3.153259949,0.00161458,0.012488583,ENSG00000032444.17,19,7534004,7561764,protein_coding
101,ENSG00000033011.14,ALG1,260.8332949,0.53708347,0.140270752,3.82890561,0.000128714,0.001616423,ENSG00000033011.14,16,5033702,5087379,protein_coding
102,ENSG00000033050.9,ABCF2,147.2555461,0.375673598,0.144525271,2.599362696,0.009339703,0.04979006,ENSG00000033050.9,7,151211484,151227205,protein_coding
103,ENSG00000033100.17,CHPF2,277.9127044,0.85487404,0.161683168,5.287340972,1.24e-07,4.84e-06,ENSG00000033100.17,7,151232483,151240979,protein_coding
104,ENSG00000033627.17,ATP6V0A1,477.4093947,1.099544179,0.175356082,6.270350976,3.6e-10,3.12e-08,ENSG00000033627.17,17,42458844,42522582,protein_coding
105,ENSG00000034510.6,TMSB10,2075.872416,-1.241288251,0.259534902,-4.782741127,1.73e-06,4.52e-05,ENSG00000034510.6,2,84905656,84906671,protein_coding
106,ENSG00000034713.8,GABARAPL2,949.0942319,-0.792034696,0.144915659,-5.465487312,4.62e-08,2.05e-06,ENSG00000034713.8,16,75566375,75577881,protein_coding
107,ENSG00000035115.22,SH3YL1,274.2684537,-0.567088371,0.217142597,-2.611594306,0.009012113,0.048443779,ENSG00000035115.22,2,217730,266398,protein_coding
108,ENSG00000035720.8,STAP1,5.944870877,-1.422869028,0.522600093,-2.72267274,0.006475617,0.03736678,ENSG00000035720.8,4,67558727,67607337,protein_coding
109,ENSG00000037241.7,RPL26L1,324.3222417,-0.511722681,0.145629456,-3.513867958,0.000441632,0.004407793,ENSG00000037241.7,5,172958729,172969771,protein_coding
110,ENSG00000037749.13,MFAP3,393.7176278,0.782128325,0.2486565,3.145416765,0.001658504,0.012749196,ENSG00000037749.13,5,154038959,154220478,protein_coding
111,ENSG00000038358.15,EDC4,222.0926814,0.825307612,0.204847647,4.028885005,5.6e-05,0.000820752,ENSG00000038358.15,16,67873052,67884499,protein_coding
112,ENSG00000040531.16,CTNS,216.7045883,0.709863419,0.165737531,4.283057774,1.84e-05,0.000329164,ENSG00000040531.16,17,3636459,3663103,protein_coding
113,ENSG00000040608.14,RTN4R,42.90560076,2.698626102,0.467980021,5.766541267,8.09e-09,4.69e-07,ENSG00000040608.14,22,20241415,20283246,protein_coding
114,ENSG00000041357.16,PSMA4,1637.154005,-0.362589593,0.128578965,-2.819975972,0.004802725,0.029661922,ENSG00000041357.16,15,78540405,78552417,protein_coding
115,ENSG00000042286.15,AIFM2,311.5759889,0.509548058,0.166982924,3.051497986,0.002277026,0.01642105,ENSG00000042286.15,10,70098223,70132934,protein_coding
116,ENSG00000042317.17,SPATA7,147.8613961,-0.518887684,0.189741473,-2.73470885,0.006243547,0.036447537,ENSG00000042317.17,14,88384924,88470350,protein_coding
117,ENSG00000042445.14,RETSAT,3242.27154,0.500321886,0.142250561,3.517187429,0.000436146,0.004375012,ENSG00000042445.14,2,85341955,85354531,protein_coding
118,ENSG00000043143.22,JADE2,194.7782688,0.563906432,0.205804939,2.740004366,0.006143837,0.035992904,ENSG00000043143.22,5,134524312,134583230,protein_coding
119,ENSG00000043462.13,LCP2,266.9625427,-0.822126258,0.2853643,-2.88097095,0.003964522,0.025527922,ENSG00000043462.13,5,170246233,170297815,protein_coding
120,ENSG00000043514.17,TRIT1,232.8746099,-0.473645622,0.173549362,-2.729169484,0.006349406,0.036869684,ENSG00000043514.17,1,39838110,39883511,protein_coding
121,ENSG00000044090.13,CUL7,315.4272555,0.668357527,0.219490058,3.045046923,0.00232644,0.016704915,ENSG00000044090.13,6,43037617,43053943,protein_coding
122,ENSG00000044446.12,PHKA2,1085.355955,0.797777396,0.19000093,4.198807847,2.68e-05,0.000446643,ENSG00000044446.12,X,18892298,18984114,protein_coding
123,ENSG00000047346.13,FAM214A,1147.091113,-0.55219773,0.185261777,-2.980634964,0.002876515,0.019764549,ENSG00000047346.13,15,52581317,52709817,protein_coding
124,ENSG00000047410.14,TPR,2825.37757,-0.604520621,0.195552219,-3.091351378,0.001992477,0.014753108,ENSG00000047410.14,1,186311652,186375693,protein_coding
125,ENSG00000047578.14,KIAA0556,105.1831232,0.758599399,0.254292044,2.983181811,0.002852685,0.01963979,ENSG00000047578.14,16,27550133,27780344,protein_coding
126,ENSG00000047634.15,SCML1,875.6555818,-0.814665533,0.202274409,-4.027526461,5.64e-05,0.000823454,ENSG00000047634.15,X,17737449,17754988,protein_coding
127,ENSG00000047849.22,MAP4,937.3551674,0.723222738,0.151770597,4.765236174,1.89e-06,4.83e-05,ENSG00000047849.22,3,47850690,48089272,protein_coding
128,ENSG00000048140.18,TSPAN17,347.7950893,1.075571221,0.134246946,8.01188594,1.13e-15,5.01e-13,ENSG00000048140.18,5,176647387,176659054,protein_coding
129,ENSG00000048540.16,LMO3,10.2974285,-1.897837032,0.534720904,-3.549210473,0.000386388,0.003967353,ENSG00000048540.16,12,16548372,16610594,protein_coding
130,ENSG00000048707.15,VPS13D,948.5157609,0.787944704,0.152873023,5.154242959,2.55e-07,9.06e-06,ENSG00000048707.15,1,12230030,12512047,protein_coding
131,ENSG00000049239.13,H6PD,3266.52903,0.711855724,0.192432246,3.699253842,0.000216234,0.002459487,ENSG00000049239.13,1,9234774,9271337,protein_coding
132,ENSG00000049449.10,RCN1,1619.072023,-0.52755028,0.185514334,-2.843717078,0.004459062,0.028014174,ENSG00000049449.10,11,32091074,32105722,protein_coding
133,ENSG00000049618.24,ARID1B,457.933644,-0.296469825,0.10243387,-2.894255834,0.003800584,0.024715929,ENSG00000049618.24,6,156776020,157210779,protein_coding
134,ENSG00000049656.14,CLPTM1L,1701.170782,1.161719247,0.266486362,4.359394745,1.3e-05,0.000246217,ENSG00000049656.14,5,1317752,1345099,protein_coding
135,ENSG00000049768.17,FOXP3,47.60609114,2.475081709,0.614427994,4.028269762,5.62e-05,0.000821907,ENSG00000049768.17,X,49250438,49264800,protein_coding
136,ENSG00000050327.15,ARHGEF5,111.5911942,1.054370589,0.242803087,4.342492514,1.41e-05,0.000262515,ENSG00000050327.15,7,144355288,144380632,protein_coding
137,ENSG00000050393.12,MCUR1,564.5312977,-0.604921729,0.154834383,-3.906895324,9.35e-05,0.001240664,ENSG00000050393.12,6,13786557,13814568,protein_coding
138,ENSG00000050555.19,LAMC3,36.62168565,2.02482267,0.556032579,3.641554011,0.000270997,0.002966405,ENSG00000050555.19,9,131009174,131094473,protein_coding
139,ENSG00000050628.21,PTGER3,7.169035354,-2.031297386,0.593109926,-3.424824467,0.000615197,0.005764535,ENSG00000050628.21,1,70852353,71047816,protein_coding
140,ENSG00000050820.17,BCAR1,210.2804343,1.888554472,0.347812026,5.429813607,5.64e-08,2.43e-06,ENSG00000050820.17,16,75228181,75268053,protein_coding
141,ENSG00000051620.11,HEBP2,1721.427567,-0.990155707,0.189556174,-5.223547636,1.76e-07,6.5e-06,ENSG00000051620.11,6,138403531,138422197,protein_coding
142,ENSG00000051825.15,MPHOSPH9,313.9975294,0.778962992,0.148614889,5.241486875,1.59e-07,5.96e-06,ENSG00000051825.15,12,123152320,123244014,protein_coding
143,ENSG00000052344.16,PRSS8,173.859362,1.263672153,0.300807709,4.200930074,2.66e-05,0.000443779,ENSG00000052344.16,16,31131433,31135727,protein_coding
144,ENSG00000052749.14,RRP12,116.5948167,0.690832889,0.229046318,3.016127455,0.002560256,0.017991977,ENSG00000052749.14,10,97356358,97426076,protein_coding
145,ENSG00000053371.13,AKR7A2,712.2498068,0.620699583,0.207594534,2.989961108,0.00279013,0.019297375,ENSG00000053371.13,1,19303965,19312144,protein_coding
146,ENSG00000053438.11,NNAT,8.85981572,2.442312417,0.569596762,4.287791957,1.8e-05,0.000323395,ENSG00000053438.11,20,37521206,37523690,protein_coding
147,ENSG00000053747.17,LAMA3,116.4127934,1.47703161,0.337935687,4.370747656,1.24e-05,0.000235684,ENSG00000053747.17,18,23689453,23956222,protein_coding
148,ENSG00000054179.12,ENTPD2,8.766557242,1.814344726,0.594881343,3.049927095,0.002288969,0.016490009,ENSG00000054179.12,9,137048107,137054061,protein_coding
149,ENSG00000054267.22,ARID4B,614.0637783,-0.460684526,0.135332294,-3.404099002,0.000663827,0.00612082,ENSG00000054267.22,1,235131634,235328219,protein_coding
150,ENSG00000054523.20,KIF1B,801.3344203,0.486064512,0.177623121,2.736493483,0.006209782,0.036274894,ENSG00000054523.20,1,10210570,10381603,protein_coding
151,ENSG00000054611.14,TBC1D22A,247.3735615,0.492729403,0.171118916,2.87945607,0.003983618,0.025622293,ENSG00000054611.14,22,46762617,47175699,protein_coding
152,ENSG00000054803.4,CBLN4,57.48774434,-1.510291803,0.44786812,-3.372179744,0.000745758,0.006722303,ENSG00000054803.4,20,55997357,56005519,protein_coding
153,ENSG00000055130.18,CUL1,919.6753115,0.336615061,0.106885408,3.149307912,0.001636577,0.012625488,ENSG00000055130.18,7,148697914,148801110,protein_coding
154,ENSG00000055163.20,CYFIP2,618.2384985,1.309808283,0.2810953,4.659659142,3.17e-06,7.5e-05,ENSG00000055163.20,5,157266079,157395595,protein_coding
155,ENSG00000055483.20,USP36,263.0894673,0.51512482,0.184552456,2.791210861,0.005251125,0.031958113,ENSG00000055483.20,17,78787381,78841441,protein_coding
156,ENSG00000055955.17,ITIH4,26723.95583,0.619030325,0.19127431,3.236348496,0.001210695,0.009927856,ENSG00000055955.17,3,52812962,52830688,protein_coding
157,ENSG00000055957.11,ITIH1,40758.96004,0.610927696,0.174820836,3.494593156,0.000474785,0.004675335,ENSG00000055957.11,3,52777595,52792068,protein_coding
158,ENSG00000056050.7,HPF1,235.1407667,-0.491658041,0.159622432,-3.080131255,0.002069094,0.015203361,ENSG00000056050.7,4,169729470,169757944,protein_coding
159,ENSG00000057019.16,DCBLD2,527.9190185,-0.549131016,0.134987225,-4.068022107,4.74e-05,0.000716861,ENSG00000057019.16,3,98795941,98901695,protein_coding
160,ENSG00000057294.16,PKP2,566.8083917,0.861400584,0.328945306,2.618674194,0.008827221,0.047716608,ENSG00000057294.16,12,32790745,32896798,protein_coding
161,ENSG00000057468.7,MSH4,3.137939195,-2.256982454,0.737613633,-3.059843736,0.002214525,0.016037126,ENSG00000057468.7,1,75796882,75913242,protein_coding
162,ENSG00000057593.14,F7,2880.522419,0.616207854,0.149566069,4.119970916,3.79e-05,0.000593367,ENSG00000057593.14,13,113105788,113120685,protein_coding
163,ENSG00000057657.17,PRDM1,40.94657768,-1.758487403,0.37186047,-4.728890384,2.26e-06,5.64e-05,ENSG00000057657.17,6,105993463,106109939,protein_coding
164,ENSG00000058056.10,USP13,260.3380233,-0.533871125,0.168558521,-3.167274609,0.001538749,0.012037081,ENSG00000058056.10,3,179653032,179804366,protein_coding
165,ENSG00000058262.10,SEC61A1,3273.457863,1.022013142,0.175795945,5.813633212,6.11e-09,3.69e-07,ENSG00000058262.10,3,128051641,128071705,protein_coding
