,gene_id,colors,gene_name,gene_type,receptor
37,ENSG00000130208,yellow,APOC1,gene with protein product,
38,ENSG00000248527,lightyellow,MTATP6P1,pseudogene,
39,ENSG00000118137,grey,APOA1,gene with protein product,
40,ENSG00000087086,grey,FTL,gene with protein product,
41,ENSG00000021826,grey,CPS1,gene with protein product,
42,ENSG00000106927,grey,AMBP,gene with protein product,
43,ENSG00000198099,grey,ADH4,gene with protein product,
44,ENSG00000138207,grey,RBP4,gene with protein product,
45,ENSG00000109072,grey,VTN,gene with protein product,
46,ENSG00000156508,yellow,EEF1A1,gene with protein product,
47,ENSG00000133112,yellow,TPT1,gene with protein product,
48,ENSG00000122194,black,PLG,gene with protein product,
49,ENSG00000110169,grey,HPX,gene with protein product,
50,ENSG00000124253,grey,PCK1,gene with protein product,
51,ENSG00000237973,grey,MTCO1P12,pseudogene,
52,ENSG00000145192,grey,AHSG,gene with protein product,
53,ENSG00000130203,pink,APOE,gene with protein product,
54,ENSG00000250722,brown,SELENOP,gene with protein product,
55,ENSG00000198848,grey,CES1,gene with protein product,
56,ENSG00000132693,grey,CRP,gene with protein product,
57,ENSG00000151655,black,ITIH2,gene with protein product,
58,ENSG00000198650,grey,TAT,gene with protein product,
59,ENSG00000047457,black,CP,gene with protein product,
60,ENSG00000171766,blue,GATM,gene with protein product,
61,ENSG00000278791,grey,,,
62,ENSG00000134240,grey,HMGCS2,gene with protein product,
63,ENSG00000113905,grey,HRG,gene with protein product,
64,ENSG00000120885,grey,CLU,gene with protein product,Complement system regulators and receptors
65,ENSG00000112972,darkred,HMGCS1,gene with protein product,
66,ENSG00000117601,grey,SERPINC1,gene with protein product,
67,ENSG00000228278,grey,ORM2,gene with protein product,
68,ENSG00000163586,grey,FABP1,gene with protein product,
69,ENSG00000166710,grey,B2M,gene with protein product,
70,ENSG00000198865,brown,CCDC152,gene with protein product,
71,ENSG00000138115,grey,CYP2C8,gene with protein product,
72,ENSG00000151726,grey,ACSL1,gene with protein product,
73,ENSG00000243955,grey,GSTA1,gene with protein product,
74,ENSG00000187758,grey,ADH1A,gene with protein product,
75,ENSG00000173432,grey,SAA1,gene with protein product,
76,ENSG00000055957,greenyellow,ITIH1,gene with protein product,
77,ENSG00000182326,grey,C1S,gene with protein product,
78,ENSG00000113600,grey,C9,gene with protein product,
79,ENSG00000242337,black,INHCAP,pseudogene,
80,ENSG00000255974,grey,CYP2A6,gene with protein product,
81,ENSG00000225630,grey,MTND2P28,pseudogene,
82,ENSG00000245532,red,NEAT1,"RNA, long non-coding",
83,ENSG00000138356,grey,AOX1,gene with protein product,
84,ENSG00000113889,grey,KNG1,gene with protein product,
85,ENSG00000130707,grey,ASS1,gene with protein product,
86,ENSG00000151224,grey,MAT1A,gene with protein product,
87,ENSG00000135744,grey60,AGT,gene with protein product,
88,ENSG00000244255,grey,,,
89,ENSG00000145692,grey,BHMT,gene with protein product,
90,ENSG00000244067,grey,GSTA2,gene with protein product,
91,ENSG00000149131,grey,SERPING1,gene with protein product,
92,ENSG00000248144,grey,ADH1C,gene with protein product,
93,ENSG00000125144,grey,MT1G,gene with protein product,
94,ENSG00000273259,grey,,,
95,ENSG00000196136,grey,SERPINA3,gene with protein product,
96,ENSG00000243649,grey,CFB,gene with protein product,
97,ENSG00000210194,lightyellow,MT-TE,"RNA, transfer",
98,ENSG00000111275,yellow,ALDH2,gene with protein product,
99,ENSG00000130600,grey,H19,"RNA, long non-coding",
100,ENSG00000224389,grey,C4B,gene with protein product,
101,ENSG00000244414,grey,CFHR1,gene with protein product,
102,ENSG00000289697,black,,,
103,ENSG00000156096,grey,UGT2B4,gene with protein product,
104,ENSG00000172482,tan,AGXT,gene with protein product,
105,ENSG00000139209,brown,SLC38A4,gene with protein product,
106,ENSG00000109181,grey,UGT2B10,gene with protein product,
107,ENSG00000136881,grey,BAAT,gene with protein product,
108,ENSG00000162267,grey,ITIH3,gene with protein product,
109,ENSG00000139644,grey,TMBIM6,gene with protein product,
110,ENSG00000159403,grey,C1R,gene with protein product,
111,ENSG00000244731,grey,C4A,gene with protein product,
112,ENSG00000106258,grey,CYP3A5,gene with protein product,
113,ENSG00000171234,grey,UGT2B7,gene with protein product,
114,ENSG00000210151,lightyellow,MT-TS1,"RNA, transfer",
115,ENSG00000160862,grey,AZGP1,gene with protein product,
116,ENSG00000138109,grey,CYP2C9,gene with protein product,
117,ENSG00000123838,grey,C4BPA,gene with protein product,
118,ENSG00000089220,yellow,PEBP1,gene with protein product,
119,ENSG00000135821,grey,GLUL,gene with protein product,
120,ENSG00000052802,darkred,MSMO1,gene with protein product,
121,ENSG00000261701,midnightblue,HPR,gene with protein product,
122,ENSG00000243696,grey,,,
123,ENSG00000055955,grey,ITIH4,gene with protein product,
124,ENSG00000109971,grey,HSPA8,gene with protein product,
125,ENSG00000132703,grey,APCS,gene with protein product,
126,ENSG00000125148,grey,MT2A,gene with protein product,
127,ENSG00000000971,black,CFH,gene with protein product,
128,ENSG00000132541,green,RIDA,gene with protein product,
129,ENSG00000119927,grey,GPAM,gene with protein product,
130,ENSG00000163581,brown,SLC2A2,gene with protein product,
131,ENSG00000116133,grey,DHCR24,gene with protein product,
132,ENSG00000104760,grey,FGL1,gene with protein product,
133,ENSG00000169738,purple,DCXR,gene with protein product,
134,ENSG00000210135,red,MT-TN,"RNA, transfer",
135,ENSG00000163755,green,HPS3,gene with protein product,
136,ENSG00000132855,blue,ANGPTL3,gene with protein product,
137,ENSG00000171759,grey,PAH,gene with protein product,
138,ENSG00000121691,grey,CAT,gene with protein product,
139,ENSG00000167315,grey,ACAA2,gene with protein product,
140,ENSG00000140505,grey,CYP1A2,gene with protein product,
141,ENSG00000224916,yellow,APOC4-APOC2,readthrough,
142,ENSG00000210140,red,MT-TC,"RNA, transfer",
143,ENSG00000280087,yellow,,,
144,ENSG00000121310,turquoise,ECHDC2,gene with protein product,
145,ENSG00000143819,grey,EPHX1,gene with protein product,
146,ENSG00000099937,black,SERPIND1,gene with protein product,
147,ENSG00000008394,green,MGST1,gene with protein product,
148,ENSG00000169136,grey,ATF5,gene with protein product,
149,ENSG00000186480,grey,INSIG1,gene with protein product,
150,ENSG00000196620,grey,UGT2B15,gene with protein product,
151,ENSG00000167711,grey,SERPINF2,gene with protein product,
152,ENSG00000165092,grey,ALDH1A1,gene with protein product,
153,ENSG00000106804,black,C5,gene with protein product,
154,ENSG00000148672,grey,GLUD1,gene with protein product,
155,ENSG00000234906,yellow,APOC2,gene with protein product,
156,ENSG00000158104,grey,HPD,gene with protein product,
157,ENSG00000225972,midnightblue,MTND1P23,pseudogene,
158,ENSG00000198744,turquoise,MTCO3P12,pseudogene,
159,ENSG00000169764,brown,UGP2,gene with protein product,
160,ENSG00000187048,grey,CYP4A11,gene with protein product,
161,ENSG00000180210,grey,F2,gene with protein product,
162,ENSG00000185624,greenyellow,P4HB,gene with protein product,
163,ENSG00000112964,brown,GHR,gene with protein product,
164,ENSG00000134824,grey,FADS2,gene with protein product,
165,ENSG00000167658,greenyellow,EEF2,gene with protein product,
166,ENSG00000025423,grey,HSD17B6,gene with protein product,
167,ENSG00000105398,grey,SULT2A1,gene with protein product,
168,ENSG00000197746,black,PSAP,gene with protein product,
169,ENSG00000134184,grey,GSTM1,gene with protein product,
170,ENSG00000273171,purple,,,
171,ENSG00000151365,grey,THRSP,gene with protein product,
172,ENSG00000210144,red,MT-TY,"RNA, transfer",
173,ENSG00000116285,grey,ERRFI1,gene with protein product,
174,ENSG00000079557,grey,AFM,gene with protein product,
175,ENSG00000169710,grey,FASN,gene with protein product,
176,ENSG00000131482,grey,G6PC1,gene with protein product,
177,ENSG00000146678,midnightblue,IGFBP1,gene with protein product,
178,ENSG00000160282,turquoise,FTCD,gene with protein product,
179,ENSG00000182551,yellow,ADI1,gene with protein product,
180,ENSG00000144908,grey,ALDH1L1,gene with protein product,
181,ENSG00000151790,grey,TDO2,gene with protein product,
182,ENSG00000005421,grey,PON1,gene with protein product,
183,ENSG00000134538,brown,SLCO1B1,gene with protein product,
184,ENSG00000044574,grey,HSPA5,gene with protein product,
185,ENSG00000039537,black,C6,gene with protein product,
186,ENSG00000100316,yellow,RPL3,gene with protein product,
187,ENSG00000164733,grey,CTSB,gene with protein product,
188,ENSG00000198034,yellow,RPS4X,gene with protein product,
189,ENSG00000080618,blue,CPB2,gene with protein product,
190,ENSG00000132386,grey,SERPINF1,gene with protein product,
191,ENSG00000235910,grey,APOA1-AS,"RNA, long non-coding",
192,ENSG00000183747,red,ACSM2A,gene with protein product,
193,ENSG00000273149,yellow,,,
194,ENSG00000175003,grey,SLC22A1,gene with protein product,
195,ENSG00000073849,black,ST6GAL1,gene with protein product,
196,ENSG00000111640,grey,GAPDH,gene with protein product,
197,ENSG00000196177,grey,ACADSB,gene with protein product,
198,ENSG00000166741,grey,NNMT,gene with protein product,
199,ENSG00000142168,yellow,SOD1,gene with protein product,
200,ENSG00000101981,brown,F9,gene with protein product,
201,ENSG00000167996,yellow,FTH1,gene with protein product,
202,ENSG00000167995,yellow,BEST1,gene with protein product,
203,ENSG00000105697,grey,HAMP,gene with protein product,
204,ENSG00000007933,grey,FMO3,gene with protein product,
205,ENSG00000009950,turquoise,MLXIPL,gene with protein product,
206,ENSG00000116171,grey,SCP2,gene with protein product,
207,ENSG00000172955,grey,ADH6,gene with protein product,
208,ENSG00000163682,yellow,RPL9,gene with protein product,
209,ENSG00000003989,grey60,SLC7A2,gene with protein product,
210,ENSG00000140526,black,ABHD2,gene with protein product,
211,ENSG00000167798,red,C3P1,pseudogene,
212,ENSG00000149485,grey,FADS1,gene with protein product,
213,ENSG00000166598,grey,HSP90B1,gene with protein product,
214,ENSG00000198734,black,F5,gene with protein product,
215,ENSG00000210127,red,MT-TA,"RNA, transfer",
216,ENSG00000234745,grey,HLA-B,gene with protein product,
217,ENSG00000145592,yellow,RPL37,gene with protein product,
218,ENSG00000182871,pink,COL18A1,gene with protein product,
219,ENSG00000131069,darkred,ACSS2,gene with protein product,
220,ENSG00000139547,grey,RDH16,gene with protein product,
221,ENSG00000109929,darkred,SC5D,gene with protein product,
222,ENSG00000169715,grey,MT1E,gene with protein product,
223,ENSG00000021852,grey,C8B,gene with protein product,
224,ENSG00000127022,brown,CANX,gene with protein product,
225,ENSG00000075624,grey,ACTB,gene with protein product,
226,ENSG00000075239,grey,ACAT1,gene with protein product,
227,ENSG00000080910,green,CFHR2,gene with protein product,
228,ENSG00000179218,grey,CALR,gene with protein product,
229,ENSG00000205542,yellow,TMSB4X,gene with protein product,
230,ENSG00000110243,grey,APOA5,gene with protein product,
231,ENSG00000255071,grey,SAA2-SAA4,readthrough,
232,ENSG00000106327,grey,TFR2,gene with protein product,
233,ENSG00000188488,grey,SERPINA5,gene with protein product,
234,ENSG00000147872,grey,PLIN2,gene with protein product,
235,ENSG00000197099,grey,HRG-AS1,"RNA, long non-coding",
236,ENSG00000080824,grey,HSP90AA1,gene with protein product,
237,ENSG00000135094,grey,SDS,gene with protein product,
238,ENSG00000165841,grey,CYP2C19,gene with protein product,
239,ENSG00000100889,grey,PCK2,gene with protein product,
240,ENSG00000180432,grey,CYP8B1,gene with protein product,
241,ENSG00000004799,grey,PDK4,gene with protein product,
242,ENSG00000120129,midnightblue,DUSP1,gene with protein product,
243,ENSG00000126838,grey60,PZP,gene with protein product,
244,ENSG00000008988,yellow,RPS20,gene with protein product,
245,ENSG00000214274,grey,ANG,gene with protein product,
246,ENSG00000089157,yellow,RPLP0,gene with protein product,
247,ENSG00000272234,brown,,,
248,ENSG00000106565,grey,TMEM176B,gene with protein product,
249,ENSG00000112096,grey,,,
250,ENSG00000184009,grey,ACTG1,gene with protein product,
251,ENSG00000211592,darkturquoise,IGKC,immunoglobulin gene,
252,ENSG00000245105,grey,A2M-AS1,"RNA, long non-coding",
253,ENSG00000170509,grey,HSD17B13,gene with protein product,
254,ENSG00000166347,yellow,CYB5A,gene with protein product,
255,ENSG00000067064,darkred,IDI1,gene with protein product,
256,ENSG00000103569,grey,AQP9,gene with protein product,
257,ENSG00000229117,yellow,RPL41,gene with protein product,
258,ENSG00000143878,midnightblue,RHOB,gene with protein product,
259,ENSG00000137154,yellow,RPS6,gene with protein product,
260,ENSG00000134339,grey,SAA2,gene with protein product,
261,ENSG00000171236,grey,LRG1,gene with protein product,
262,ENSG00000066813,grey,ACSM2B,gene with protein product,
263,ENSG00000129988,grey,LBP,gene with protein product,
264,ENSG00000141753,grey,IGFBP4,gene with protein product,
265,ENSG00000138326,yellow,RPS24,gene with protein product,
266,ENSG00000122787,grey,AKR1D1,gene with protein product,
267,ENSG00000116785,grey,CFHR3,gene with protein product,
268,ENSG00000244734,grey,HBB,gene with protein product,
269,ENSG00000266412,black,NCOA4,gene with protein product,
270,ENSG00000204525,grey,HLA-C,gene with protein product,
271,ENSG00000157131,grey,C8A,gene with protein product,
272,ENSG00000131187,turquoise,F12,gene with protein product,
273,ENSG00000150991,grey,UBC,gene with protein product,
274,ENSG00000160870,grey,CYP3A7,gene with protein product,
275,ENSG00000062282,grey,DGAT2,gene with protein product,
276,ENSG00000160285,darkred,LSS,gene with protein product,
277,ENSG00000140263,grey,SORD,gene with protein product,
278,ENSG00000142541,yellow,RPL13A,gene with protein product,
279,ENSG00000185432,green,TMT1A,gene with protein product,
280,ENSG00000119938,grey,PPP1R3C,gene with protein product,
281,ENSG00000118520,grey,ARG1,gene with protein product,
282,ENSG00000160752,darkred,FDPS,gene with protein product,
283,ENSG00000152558,brown,TMEM123,gene with protein product,
284,ENSG00000019582,grey,CD74,gene with protein product,
285,ENSG00000231500,yellow,RPS18,gene with protein product,
286,ENSG00000176974,grey,SHMT1,gene with protein product,
287,ENSG00000117594,grey,HSD11B1,gene with protein product,
288,ENSG00000113924,grey,HGD,gene with protein product,
289,ENSG00000083807,grey,SLC27A5,gene with protein product,
290,ENSG00000123384,pink,LRP1,gene with protein product,
291,ENSG00000127884,grey,ECHS1,gene with protein product,
292,ENSG00000119711,grey,ALDH6A1,gene with protein product,
293,ENSG00000115884,grey,SDC1,gene with protein product,
294,ENSG00000107537,green,PHYH,gene with protein product,
295,ENSG00000183044,grey,ABAT,gene with protein product,
296,ENSG00000197756,yellow,RPL37A,gene with protein product,
297,ENSG00000072778,turquoise,ACADVL,gene with protein product,
298,ENSG00000161944,purple,ASGR2,gene with protein product,
299,ENSG00000144713,yellow,RPL32,gene with protein product,
300,ENSG00000002933,grey,TMEM176A,gene with protein product,
301,ENSG00000101856,green,PGRMC1,gene with protein product,Membrane associated progesterone receptor family
302,ENSG00000148702,black,HABP2,gene with protein product,
303,ENSG00000132837,black,DMGDH,gene with protein product,
304,ENSG00000170099,grey,SERPINA6,gene with protein product,
305,ENSG00000206503,grey,HLA-A,gene with protein product,
306,ENSG00000170421,grey,KRT8,gene with protein product,
307,ENSG00000113161,darkred,HMGCR,gene with protein product,
308,ENSG00000166825,grey,ANPEP,gene with protein product,
309,ENSG00000145425,yellow,RPS3A,gene with protein product,
310,ENSG00000100024,grey,UPB1,gene with protein product,
311,ENSG00000117984,pink,CTSD,gene with protein product,
312,ENSG00000146674,grey,IGFBP3,gene with protein product,
313,ENSG00000060971,grey,ACAA1,gene with protein product,
314,ENSG00000280614,lightyellow,,,
315,ENSG00000281181,lightyellow,,,
316,ENSG00000147403,yellow,RPL10,gene with protein product,
317,ENSG00000280800,lightyellow,,,
318,ENSG00000167244,purple,IGF2,gene with protein product,
319,ENSG00000187134,grey,AKR1C1,gene with protein product,
320,ENSG00000130066,black,SAT1,gene with protein product,
321,ENSG00000110651,grey,CD81,gene with protein product,
322,ENSG00000197958,yellow,RPL12,gene with protein product,
323,ENSG00000106538,purple,RARRES2,gene with protein product,
324,ENSG00000139178,greenyellow,C1RL,gene with protein product,
325,ENSG00000142676,yellow,RPL11,gene with protein product,
326,ENSG00000136156,green,ITM2B,gene with protein product,
327,ENSG00000142534,yellow,RPS11,gene with protein product,
328,ENSG00000151632,grey,AKR1C2,gene with protein product,
329,ENSG00000114771,grey,AADAC,gene with protein product,
330,ENSG00000165471,grey,MBL2,gene with protein product,
331,ENSG00000209082,lightyellow,MT-TL1,"RNA, transfer",
332,ENSG00000165140,grey,FBP1,gene with protein product,
333,ENSG00000137204,grey,SLC22A7,gene with protein product,
334,ENSG00000106853,grey,PTGR1,gene with protein product,
335,ENSG00000265972,grey,TXNIP,gene with protein product,
336,ENSG00000105707,turquoise,HPN,gene with protein product,Scavenger receptor cysteine rich domain containing
337,ENSG00000104635,black,SLC39A14,gene with protein product,
338,ENSG00000167910,grey,CYP7A1,gene with protein product,
339,ENSG00000142937,yellow,RPS8,gene with protein product,
340,ENSG00000115310,blue,RTN4,gene with protein product,
341,ENSG00000261604,darkred,,,
342,ENSG00000141505,turquoise,ASGR1,gene with protein product,
343,ENSG00000164587,yellow,RPS14,gene with protein product,
344,ENSG00000171863,yellow,RPS7,gene with protein product,
345,ENSG00000164089,grey,ETNPPL,gene with protein product,
346,ENSG00000125691,yellow,RPL23,gene with protein product,
347,ENSG00000148965,grey,SAA4,gene with protein product,
348,ENSG00000112299,grey,VNN1,gene with protein product,
349,ENSG00000108654,grey,DDX5,gene with protein product,
350,ENSG00000186115,grey,CYP4F2,gene with protein product,
351,ENSG00000167978,turquoise,SRRM2,gene with protein product,
352,ENSG00000134352,brown,IL6ST,gene with protein product,
353,ENSG00000173281,grey,PPP1R3B,gene with protein product,
354,ENSG00000141485,grey,SLC13A5,gene with protein product,
355,ENSG00000282301,grey,CYP3A7-CYP3A51P,readthrough,
356,ENSG00000137491,greenyellow,SLCO2B1,gene with protein product,
357,ENSG00000079459,darkred,FDFT1,gene with protein product,
358,ENSG00000166441,yellow,RPL27A,gene with protein product,
359,ENSG00000268230,pink,,,
360,ENSG00000113790,grey,EHHADH,gene with protein product,
361,ENSG00000177954,yellow,RPS27,gene with protein product,
362,ENSG00000198417,grey,MT1F,gene with protein product,
363,ENSG00000121410,pink,A1BG,gene with protein product,
364,ENSG00000174748,yellow,RPL15,gene with protein product,
365,ENSG00000143947,yellow,RPS27A,gene with protein product,
366,ENSG00000122406,yellow,RPL5,gene with protein product,
367,ENSG00000147604,yellow,RPL7,gene with protein product,
368,ENSG00000159423,lightcyan,ALDH4A1,gene with protein product,
369,ENSG00000187097,black,ENTPD5,gene with protein product,
370,ENSG00000198918,yellow,RPL39,gene with protein product,
371,ENSG00000170315,grey,UBB,gene with protein product,
372,ENSG00000188338,grey,SLC38A3,gene with protein product,
373,ENSG00000138413,grey,IDH1,gene with protein product,
374,ENSG00000167526,yellow,RPL13,gene with protein product,
375,ENSG00000134333,grey,LDHA,gene with protein product,
376,ENSG00000197408,grey,CYP2B6,gene with protein product,
377,ENSG00000110700,yellow,RPS13,gene with protein product,
378,ENSG00000165672,blue,PRDX3,gene with protein product,
379,ENSG00000187193,grey,MT1X,gene with protein product,
380,ENSG00000210196,lightyellow,MT-TP,"RNA, transfer",
381,ENSG00000108515,grey,ENO3,gene with protein product,
382,ENSG00000131781,grey,FMO5,gene with protein product,
383,ENSG00000135929,grey,CYP27A1,gene with protein product,
384,ENSG00000089009,yellow,RPL6,gene with protein product,
385,ENSG00000148584,brown,A1CF,gene with protein product,
386,ENSG00000108298,yellow,RPL19,gene with protein product,
387,ENSG00000172893,darkred,DHCR7,gene with protein product,
388,ENSG00000138029,grey,HADHB,gene with protein product,
389,ENSG00000109475,yellow,RPL34,gene with protein product,
390,ENSG00000148303,yellow,RPL7A,gene with protein product,
391,ENSG00000278518,black,,,
392,ENSG00000124942,green,AHNAK,gene with protein product,
393,ENSG00000110955,grey,ATP5F1B,gene with protein product,
394,ENSG00000115677,greenyellow,HDLBP,gene with protein product,
395,ENSG00000071082,yellow,RPL31,gene with protein product,
396,ENSG00000204287,magenta,HLA-DRA,gene with protein product,
397,ENSG00000174444,yellow,RPL4,gene with protein product,
398,ENSG00000100197,grey,CYP2D6,gene with protein product,
399,ENSG00000197888,grey,UGT2B17,gene with protein product,
400,ENSG00000117592,yellow,PRDX6,gene with protein product,
401,ENSG00000142089,grey,IFITM3,gene with protein product,
402,ENSG00000114391,yellow,RPL24,gene with protein product,
403,ENSG00000005471,grey,ABCB4,gene with protein product,
404,ENSG00000100665,grey,SERPINA4,gene with protein product,
405,ENSG00000112306,yellow,RPS12,gene with protein product,
406,ENSG00000170345,midnightblue,FOS,gene with protein product,
407,ENSG00000138449,brown,SLC40A1,gene with protein product,
408,ENSG00000229807,grey,XIST,"RNA, long non-coding",
409,ENSG00000197043,grey,ANXA6,gene with protein product,
410,ENSG00000108187,grey,PBLD,gene with protein product,
411,ENSG00000198077,grey,CYP2A7,gene with protein product,
412,ENSG00000169439,blue,SDC2,gene with protein product,
413,ENSG00000196262,yellow,PPIA,gene with protein product,
414,ENSG00000128641,grey,MYO1B,gene with protein product,
415,ENSG00000105193,yellow,RPS16,gene with protein product,
416,ENSG00000138823,brown,MTTP,gene with protein product,
417,ENSG00000114200,grey,BCHE,gene with protein product,
418,ENSG00000092841,grey,MYL6,gene with protein product,
419,ENSG00000011465,grey,DCN,gene with protein product,
420,ENSG00000068366,grey,ACSL4,gene with protein product,
421,ENSG00000171747,grey,LGALS4,gene with protein product,
422,ENSG00000178445,grey60,GLDC,gene with protein product,
423,ENSG00000152620,blue,NADK2,gene with protein product,
424,ENSG00000162365,grey,CYP4A22,gene with protein product,
425,ENSG00000105852,grey,PON3,gene with protein product,
426,ENSG00000211896,darkturquoise,IGHG1,immunoglobulin gene,
427,ENSG00000147647,grey,DPYS,gene with protein product,
428,ENSG00000140093,grey,SERPINA10,gene with protein product,
429,ENSG00000204444,yellow,APOM,gene with protein product,
430,ENSG00000155368,grey,DBI,gene with protein product,
431,ENSG00000115718,turquoise,PROC,gene with protein product,
432,ENSG00000205403,grey,CFI,gene with protein product,Scavenger receptor cysteine rich domain containing
433,ENSG00000164120,blue,HPGD,gene with protein product,
434,ENSG00000096384,grey,HSP90AB1,gene with protein product,
435,ENSG00000115306,black,SPTBN1,gene with protein product,
436,ENSG00000173531,turquoise,MST1,gene with protein product,
437,ENSG00000120437,darkred,ACAT2,gene with protein product,
438,ENSG00000116690,grey,PRG4,gene with protein product,
439,ENSG00000137818,yellow,RPLP1,gene with protein product,
440,ENSG00000140284,grey,SLC27A2,gene with protein product,
441,ENSG00000251562,grey,MALAT1,"RNA, long non-coding",
442,ENSG00000135535,blue,CD164,gene with protein product,
443,ENSG00000118181,yellow,RPS25,gene with protein product,
444,ENSG00000210176,grey,MT-TH,"RNA, transfer",
445,ENSG00000107798,brown,LIPA,gene with protein product,
446,ENSG00000143416,turquoise,SELENBP1,gene with protein product,
447,ENSG00000111700,grey,SLCO1B3,gene with protein product,
448,ENSG00000205358,grey,MT1H,gene with protein product,
449,ENSG00000257767,greenyellow,,,
450,ENSG00000101323,grey,HAO1,gene with protein product,
451,ENSG00000137106,grey,GRHPR,gene with protein product,
452,ENSG00000071537,brown,SEL1L,gene with protein product,
453,ENSG00000060762,green,MPC1,gene with protein product,
454,ENSG00000285330,grey,,,
455,ENSG00000067167,brown,TRAM1,gene with protein product,
456,ENSG00000137124,grey,ALDH1B1,gene with protein product,
457,ENSG00000100219,grey,XBP1,gene with protein product,
458,ENSG00000198610,grey,AKR1C4,gene with protein product,
459,ENSG00000074695,brown,LMAN1,gene with protein product,
460,ENSG00000109758,turquoise,HGFAC,gene with protein product,
461,ENSG00000161031,grey,PGLYRP2,gene with protein product,
462,ENSG00000084234,black,APLP2,gene with protein product,
463,ENSG00000142102,turquoise,PGGHG,gene with protein product,
464,ENSG00000169714,green,CNBP,gene with protein product,
465,ENSG00000161016,yellow,RPL8,gene with protein product,
466,ENSG00000150093,brown,ITGB1,gene with protein product,
467,ENSG00000147155,darkred,EBP,gene with protein product,
468,ENSG00000107372,midnightblue,ZFAND5,gene with protein product,
469,ENSG00000074800,grey,ENO1,gene with protein product,
470,ENSG00000129596,grey,CDO1,gene with protein product,
471,ENSG00000072080,yellow,SPP2,gene with protein product,
472,ENSG00000152291,black,TGOLN2,gene with protein product,
473,ENSG00000111885,blue,MAN1A1,gene with protein product,
474,ENSG00000112936,royalblue,C7,gene with protein product,
475,ENSG00000163347,blue,CLDN1,gene with protein product,
476,ENSG00000169903,grey,TM4SF4,gene with protein product,
477,ENSG00000143418,black,CERS2,gene with protein product,
478,ENSG00000165795,grey,NDRG2,gene with protein product,
479,ENSG00000108179,grey,PPIF,gene with protein product,
480,ENSG00000166035,grey,LIPC,gene with protein product,
481,ENSG00000109084,darkred,TMEM97,gene with protein product,
482,ENSG00000125166,grey,GOT2,gene with protein product,
483,ENSG00000132840,grey,BHMT2,gene with protein product,
484,ENSG00000122026,yellow,RPL21,gene with protein product,
485,ENSG00000084754,grey,HADHA,gene with protein product,
486,ENSG00000159335,purple,PTMS,gene with protein product,
487,ENSG00000184500,grey,PROS1,gene with protein product,
488,ENSG00000167004,grey,PDIA3,gene with protein product,
489,ENSG00000183549,grey,ACSM5,gene with protein product,
490,ENSG00000116678,grey,LEPR,gene with protein product,
491,ENSG00000012660,grey60,ELOVL5,gene with protein product,
492,ENSG00000100714,grey,MTHFD1,gene with protein product,
493,ENSG00000169045,red,HNRNPH1,gene with protein product,
494,ENSG00000131469,yellow,RPL27,gene with protein product,
495,ENSG00000259479,grey,SORD2P,pseudogene,
496,ENSG00000149124,grey,GLYAT,gene with protein product,
497,ENSG00000277893,grey,SRD5A2,gene with protein product,
498,ENSG00000188846,yellow,RPL14,gene with protein product,
499,ENSG00000112992,black,NNT,gene with protein product,
