,colors,gene_id,gene_name,gene_type,receptor
67,brown,ENSG00000187758,ADH1A,gene with protein product,
68,blue,ENSG00000047457,CP,gene with protein product,
69,violet,ENSG00000138115,CYP2C8,gene with protein product,
70,green,ENSG00000113600,C9,gene with protein product,
71,brown,ENSG00000120885,CLU,gene with protein product,Complement system regulators and receptors
72,blue,ENSG00000055957,ITIH1,gene with protein product,
73,lightgreen,ENSG00000261701,HPR,gene with protein product,
74,red,ENSG00000198865,CCDC152,gene with protein product,
75,grey,ENSG00000244414,CFHR1,gene with protein product,
76,brown,ENSG00000248144,ADH1C,gene with protein product,
77,brown,ENSG00000111275,ALDH2,gene with protein product,
78,grey,ENSG00000113905,HRG,gene with protein product,
79,lightgreen,ENSG00000225972,MTND1P23,pseudogene,
80,grey,ENSG00000243955,GSTA1,gene with protein product,
81,blue,ENSG00000113889,KNG1,gene with protein product,
82,turquoise,ENSG00000243696,,,
83,lightcyan,ENSG00000106258,CYP3A5,gene with protein product,
84,turquoise,ENSG00000166710,B2M,gene with protein product,
85,brown,ENSG00000149131,SERPING1,gene with protein product,
86,turquoise,ENSG00000160282,FTCD,gene with protein product,
87,blue,ENSG00000242337,INHCAP,pseudogene,
88,turquoise,ENSG00000138356,AOX1,gene with protein product,
89,blue,ENSG00000289697,,,
90,turquoise,ENSG00000055955,ITIH4,gene with protein product,
91,orange,ENSG00000151726,ACSL1,gene with protein product,
92,brown,ENSG00000163755,HPS3,gene with protein product,
93,pink,ENSG00000089220,PEBP1,gene with protein product,
94,turquoise,ENSG00000160862,AZGP1,gene with protein product,
95,blue,ENSG00000139644,TMBIM6,gene with protein product,
96,red,ENSG00000136881,BAAT,gene with protein product,
97,blue,ENSG00000210135,MT-TN,"RNA, transfer",
98,grey,ENSG00000182326,C1S,gene with protein product,
99,blue,ENSG00000210140,MT-TC,"RNA, transfer",
100,grey,ENSG00000145692,BHMT,gene with protein product,
101,lightgreen,ENSG00000146678,IGFBP1,gene with protein product,
102,grey,ENSG00000104760,FGL1,gene with protein product,
103,lightcyan,ENSG00000125144,MT1G,gene with protein product,
104,grey,ENSG00000132703,APCS,gene with protein product,
105,grey,ENSG00000130707,ASS1,gene with protein product,
106,cyan,ENSG00000169738,DCXR,gene with protein product,
107,lightgreen,ENSG00000135821,GLUL,gene with protein product,
108,lightcyan,ENSG00000245532,NEAT1,"RNA, long non-coding",
109,grey,ENSG00000244255,,,
110,midnightblue,ENSG00000109971,HSPA8,gene with protein product,
111,turquoise,ENSG00000167711,SERPINF2,gene with protein product,
112,turquoise,ENSG00000169136,ATF5,gene with protein product,
113,brown,ENSG00000132541,RIDA,gene with protein product,
114,grey,ENSG00000243649,CFB,gene with protein product,
115,blue,ENSG00000139209,SLC38A4,gene with protein product,
116,turquoise,ENSG00000159403,C1R,gene with protein product,
117,grey,ENSG00000162267,ITIH3,gene with protein product,
118,grey,ENSG00000244067,GSTA2,gene with protein product,
119,brown,ENSG00000255974,CYP2A6,gene with protein product,
120,grey,ENSG00000158104,HPD,gene with protein product,
121,black,ENSG00000121691,CAT,gene with protein product,
122,pink,ENSG00000280087,,,
123,grey,ENSG00000148672,GLUD1,gene with protein product,
124,grey,ENSG00000273259,,,
125,grey,ENSG00000196136,SERPINA3,gene with protein product,
126,blue,ENSG00000138109,CYP2C9,gene with protein product,
127,blue,ENSG00000000971,CFH,gene with protein product,
128,blue,ENSG00000099937,SERPIND1,gene with protein product,
129,red,ENSG00000163581,SLC2A2,gene with protein product,
130,grey,ENSG00000171759,PAH,gene with protein product,
131,red,ENSG00000171234,UGT2B7,gene with protein product,
132,blue,ENSG00000106804,C5,gene with protein product,
133,blue,ENSG00000151224,MAT1A,gene with protein product,
134,lightgreen,ENSG00000120129,DUSP1,gene with protein product,
135,brown,ENSG00000198034,RPS4X,gene with protein product,
136,lightgreen,ENSG00000116285,ERRFI1,gene with protein product,
137,turquoise,ENSG00000123838,C4BPA,gene with protein product,
138,turquoise,ENSG00000156096,UGT2B4,gene with protein product,
139,grey,ENSG00000187048,CYP4A11,gene with protein product,
140,grey60,ENSG00000273149,,,
141,yellow,ENSG00000135744,AGT,gene with protein product,
142,brown,ENSG00000167995,BEST1,gene with protein product,
143,brown,ENSG00000224389,C4B,gene with protein product,
144,brown,ENSG00000163682,RPL9,gene with protein product,
145,brown,ENSG00000224916,APOC4-APOC2,readthrough,
146,grey,ENSG00000165841,CYP2C19,gene with protein product,
147,blue,ENSG00000210144,MT-TY,"RNA, transfer",
148,brown,ENSG00000167996,FTH1,gene with protein product,
149,midnightblue,ENSG00000109181,UGT2B10,gene with protein product,
150,brown,ENSG00000008394,MGST1,gene with protein product,
151,brown,ENSG00000116133,DHCR24,gene with protein product,
152,purple,ENSG00000210151,MT-TS1,"RNA, transfer",
153,yellowgreen,ENSG00000167658,EEF2,gene with protein product,
154,grey,ENSG00000166741,NNMT,gene with protein product,
155,grey,ENSG00000025423,HSD17B6,gene with protein product,
156,pink,ENSG00000125148,MT2A,gene with protein product,
157,lightgreen,ENSG00000143878,RHOB,gene with protein product,
158,turquoise,ENSG00000167798,C3P1,pseudogene,
159,turquoise,ENSG00000273171,,,
160,salmon,ENSG00000180210,F2,gene with protein product,
161,grey,ENSG00000132386,SERPINF1,gene with protein product,
162,blue,ENSG00000173432,SAA1,gene with protein product,
163,midnightblue,ENSG00000143819,EPHX1,gene with protein product,
164,brown,ENSG00000145592,RPL37,gene with protein product,
165,magenta,ENSG00000205542,TMSB4X,gene with protein product,
166,steelblue,ENSG00000151790,TDO2,gene with protein product,
167,turquoise,ENSG00000165092,ALDH1A1,gene with protein product,
168,turquoise,ENSG00000235910,APOA1-AS,"RNA, long non-coding",
169,grey,ENSG00000131482,G6PC1,gene with protein product,
170,grey,ENSG00000245105,A2M-AS1,"RNA, long non-coding",
171,grey60,ENSG00000167315,ACAA2,gene with protein product,
172,blue,ENSG00000197746,PSAP,gene with protein product,
173,blue,ENSG00000073849,ST6GAL1,gene with protein product,
174,turquoise,ENSG00000072778,ACADVL,gene with protein product,
175,blue,ENSG00000140526,ABHD2,gene with protein product,
176,grey60,ENSG00000100316,RPL3,gene with protein product,
177,grey,ENSG00000044574,HSPA5,gene with protein product,
178,turquoise,ENSG00000009950,MLXIPL,gene with protein product,
179,grey,ENSG00000130600,H19,"RNA, long non-coding",
180,white,ENSG00000186480,INSIG1,gene with protein product,
181,yellow,ENSG00000185624,P4HB,gene with protein product,
182,blue,ENSG00000188488,SERPINA5,gene with protein product,
183,blue,ENSG00000039537,C6,gene with protein product,
184,brown,ENSG00000008988,RPS20,gene with protein product,
185,grey,ENSG00000105697,HAMP,gene with protein product,
186,orange,ENSG00000112972,HMGCS1,gene with protein product,
187,brown,ENSG00000234906,APOC2,gene with protein product,
188,lightgreen,ENSG00000004799,PDK4,gene with protein product,
189,darkmagenta,ENSG00000140263,SORD,gene with protein product,
190,purple,ENSG00000244731,C4A,gene with protein product,
191,grey,ENSG00000119927,GPAM,gene with protein product,
192,blue,ENSG00000210127,MT-TA,"RNA, transfer",
193,brown,ENSG00000182551,ADI1,gene with protein product,
194,brown,ENSG00000142168,SOD1,gene with protein product,
195,brown,ENSG00000137154,RPS6,gene with protein product,
196,red,ENSG00000196177,ACADSB,gene with protein product,
197,blue,ENSG00000075624,ACTB,gene with protein product,
198,black,ENSG00000210194,MT-TE,"RNA, transfer",
199,darkturquoise,ENSG00000164733,CTSB,gene with protein product,
200,yellowgreen,ENSG00000175003,SLC22A1,gene with protein product,
201,grey,ENSG00000116785,CFHR3,gene with protein product,
202,turquoise,ENSG00000121310,ECHDC2,gene with protein product,
203,green,ENSG00000080910,CFHR2,gene with protein product,
204,turquoise,ENSG00000080618,CPB2,gene with protein product,
205,grey,ENSG00000105398,SULT2A1,gene with protein product,
206,turquoise,ENSG00000131187,F12,gene with protein product,
207,purple,ENSG00000007933,FMO3,gene with protein product,
208,grey60,ENSG00000231500,RPS18,gene with protein product,
209,darkturquoise,ENSG00000172955,ADH6,gene with protein product,
210,brown,ENSG00000169715,MT1E,gene with protein product,
211,grey,ENSG00000112096,,,
212,saddlebrown,ENSG00000211592,IGKC,immunoglobulin gene,
213,turquoise,ENSG00000116171,SCP2,gene with protein product,
214,grey,ENSG00000140505,CYP1A2,gene with protein product,
215,blue,ENSG00000169764,UGP2,gene with protein product,
216,grey,ENSG00000110243,APOA5,gene with protein product,
217,salmon,ENSG00000135094,SDS,gene with protein product,
218,blue,ENSG00000198734,F5,gene with protein product,
219,grey,ENSG00000170509,HSD17B13,gene with protein product,
220,turquoise,ENSG00000132855,ANGPTL3,gene with protein product,
221,turquoise,ENSG00000161944,ASGR2,gene with protein product,
222,blue,ENSG00000101981,F9,gene with protein product,
223,turquoise,ENSG00000141505,ASGR1,gene with protein product,
224,orange,ENSG00000052802,MSMO1,gene with protein product,
225,brown,ENSG00000197756,RPL37A,gene with protein product,
226,salmon,ENSG00000111640,GAPDH,gene with protein product,
227,turquoise,ENSG00000137204,SLC22A7,gene with protein product,
228,grey,ENSG00000005421,PON1,gene with protein product,
229,brown,ENSG00000145425,RPS3A,gene with protein product,
230,brown,ENSG00000138326,RPS24,gene with protein product,
231,grey,ENSG00000103569,AQP9,gene with protein product,
232,lightgreen,ENSG00000170345,FOS,gene with protein product,
233,brown,ENSG00000166347,CYB5A,gene with protein product,
234,brown,ENSG00000144713,RPL32,gene with protein product,
235,grey,ENSG00000214274,ANG,gene with protein product,
236,turquoise,ENSG00000141753,IGFBP4,gene with protein product,
237,grey,ENSG00000134184,GSTM1,gene with protein product,
238,turquoise,ENSG00000183747,ACSM2A,gene with protein product,
239,salmon,ENSG00000139547,RDH16,gene with protein product,
240,turquoise,ENSG00000105707,HPN,gene with protein product,Scavenger receptor cysteine rich domain containing
241,turquoise,ENSG00000185432,TMT1A,gene with protein product,
242,grey,ENSG00000144908,ALDH1L1,gene with protein product,
243,blue,ENSG00000134538,SLCO1B1,gene with protein product,
244,darkorange,ENSG00000080824,HSP90AA1,gene with protein product,
245,brown,ENSG00000142937,RPS8,gene with protein product,
246,turquoise,ENSG00000119711,ALDH6A1,gene with protein product,
247,brown,ENSG00000171863,RPS7,gene with protein product,
248,red,ENSG00000196620,UGT2B15,gene with protein product,
249,turquoise,ENSG00000182871,COL18A1,gene with protein product,
250,grey,ENSG00000079557,AFM,gene with protein product,
251,brown,ENSG00000197958,RPL12,gene with protein product,
252,grey60,ENSG00000089157,RPLP0,gene with protein product,
253,grey60,ENSG00000142534,RPS11,gene with protein product,
254,purple,ENSG00000255071,SAA2-SAA4,readthrough,
255,grey,ENSG00000184009,ACTG1,gene with protein product,
256,grey,ENSG00000146674,IGFBP3,gene with protein product,
257,brown,ENSG00000142541,RPL13A,gene with protein product,
258,grey,ENSG00000166598,HSP90B1,gene with protein product,
259,brown,ENSG00000122406,RPL5,gene with protein product,
260,brown,ENSG00000125691,RPL23,gene with protein product,
261,yellow,ENSG00000083807,SLC27A5,gene with protein product,
262,cyan,ENSG00000127884,ECHS1,gene with protein product,
263,yellow,ENSG00000100889,PCK2,gene with protein product,
264,grey,ENSG00000021852,C8B,gene with protein product,
265,grey60,ENSG00000143947,RPS27A,gene with protein product,
266,blue,ENSG00000197099,HRG-AS1,"RNA, long non-coding",
267,brown,ENSG00000198918,RPL39,gene with protein product,
268,blue,ENSG00000112964,GHR,gene with protein product,
269,brown,ENSG00000164587,RPS14,gene with protein product,
270,brown,ENSG00000110700,RPS13,gene with protein product,
271,turquoise,ENSG00000186301,MST1P2,pseudogene,
272,steelblue,ENSG00000117594,HSD11B1,gene with protein product,
273,grey60,ENSG00000229117,RPL41,gene with protein product,
274,blue,ENSG00000180432,CYP8B1,gene with protein product,
275,blue,ENSG00000104635,SLC39A14,gene with protein product,
276,grey60,ENSG00000147403,RPL10,gene with protein product,
277,grey60,ENSG00000148303,RPL7A,gene with protein product,
278,cyan,ENSG00000106538,RARRES2,gene with protein product,
279,blue,ENSG00000272234,,,
280,grey60,ENSG00000174748,RPL15,gene with protein product,
281,brown,ENSG00000142676,RPL11,gene with protein product,
282,red,ENSG00000122787,AKR1D1,gene with protein product,
283,salmon,ENSG00000106327,TFR2,gene with protein product,
284,brown,ENSG00000089009,RPL6,gene with protein product,
285,yellow,ENSG00000115884,SDC1,gene with protein product,
286,turquoise,ENSG00000167244,IGF2,gene with protein product,
287,brown,ENSG00000109475,RPL34,gene with protein product,
288,lightgreen,ENSG00000107372,ZFAND5,gene with protein product,
289,turquoise,ENSG00000173531,MST1,gene with protein product,
290,brown,ENSG00000071082,RPL31,gene with protein product,
291,grey,ENSG00000002933,TMEM176A,gene with protein product,
292,grey60,ENSG00000108298,RPL19,gene with protein product,
293,brown,ENSG00000114391,RPL24,gene with protein product,
294,blue,ENSG00000127022,CANX,gene with protein product,
295,grey,ENSG00000157131,C8A,gene with protein product,
296,purple,ENSG00000148965,SAA4,gene with protein product,
297,brown,ENSG00000166441,RPL27A,gene with protein product,
298,grey,ENSG00000147872,PLIN2,gene with protein product,
299,grey,ENSG00000075239,ACAT1,gene with protein product,
300,green,ENSG00000136156,ITM2B,gene with protein product,
301,lightgreen,ENSG00000131910,NR0B2,gene with protein product,Nuclear receptor subfamily 0 group B
302,turquoise,ENSG00000165140,FBP1,gene with protein product,
303,blue,ENSG00000132837,DMGDH,gene with protein product,
304,brown,ENSG00000108187,PBLD,gene with protein product,
305,blue,ENSG00000130066,SAT1,gene with protein product,
306,darkolivegreen,ENSG00000204525,HLA-C,gene with protein product,
307,turquoise,ENSG00000115718,PROC,gene with protein product,
308,pink,ENSG00000167526,RPL13,gene with protein product,
309,skyblue3,ENSG00000060971,ACAA1,gene with protein product,
310,green,ENSG00000129988,LBP,gene with protein product,
311,turquoise,ENSG00000183044,ABAT,gene with protein product,
312,turquoise,ENSG00000100024,UPB1,gene with protein product,
313,grey60,ENSG00000147604,RPL7,gene with protein product,
314,grey,ENSG00000171236,LRG1,gene with protein product,
315,blue,ENSG00000139178,C1RL,gene with protein product,
316,grey,ENSG00000134333,LDHA,gene with protein product,
317,yellow,ENSG00000268230,,,
318,grey,ENSG00000062282,DGAT2,gene with protein product,
319,yellow,ENSG00000121410,A1BG,gene with protein product,
320,grey,ENSG00000118520,ARG1,gene with protein product,
321,brown,ENSG00000107537,PHYH,gene with protein product,
322,green,ENSG00000101856,PGRMC1,gene with protein product,Membrane associated progesterone receptor family
323,turquoise,ENSG00000113924,HGD,gene with protein product,
324,grey,ENSG00000259479,SORD2P,pseudogene,
325,turquoise,ENSG00000106565,TMEM176B,gene with protein product,
326,salmon,ENSG00000100665,SERPINA4,gene with protein product,
327,grey,ENSG00000147647,DPYS,gene with protein product,
328,grey,ENSG00000176974,SHMT1,gene with protein product,
329,yellow,ENSG00000106853,PTGR1,gene with protein product,
330,darkgreen,ENSG00000187193,MT1X,gene with protein product,
331,grey60,ENSG00000177954,RPS27,gene with protein product,
332,grey60,ENSG00000112306,RPS12,gene with protein product,
333,blue,ENSG00000148702,HABP2,gene with protein product,
334,turquoise,ENSG00000168237,GLYCTK,gene with protein product,
335,brown,ENSG00000105193,RPS16,gene with protein product,
336,blue,ENSG00000003989,SLC7A2,gene with protein product,
337,brown,ENSG00000118181,RPS25,gene with protein product,
338,blue,ENSG00000266412,NCOA4,gene with protein product,
339,grey,ENSG00000234745,HLA-B,gene with protein product,
340,orange,ENSG00000109929,SC5D,gene with protein product,
341,orange,ENSG00000100197,CYP2D6,gene with protein product,
342,violet,ENSG00000198744,MTCO3P12,pseudogene,
343,lightyellow,ENSG00000165672,PRDX3,gene with protein product,
344,yellow,ENSG00000159423,ALDH4A1,gene with protein product,
345,darkmagenta,ENSG00000126838,PZP,gene with protein product,
346,grey60,ENSG00000174444,RPL4,gene with protein product,
347,salmon,ENSG00000278518,,,
348,grey,ENSG00000150991,UBC,gene with protein product,
349,yellow,ENSG00000170421,KRT8,gene with protein product,
350,darkgreen,ENSG00000114200,BCHE,gene with protein product,
351,blue,ENSG00000137491,SLCO2B1,gene with protein product,
352,blue,ENSG00000165471,MBL2,gene with protein product,
353,pink,ENSG00000161016,RPL8,gene with protein product,
354,black,ENSG00000231806,PCAT7,"RNA, long non-coding",
355,midnightblue,ENSG00000179218,CALR,gene with protein product,
356,brown,ENSG00000060762,MPC1,gene with protein product,
357,grey,ENSG00000135929,CYP27A1,gene with protein product,
358,yellow,ENSG00000115677,HDLBP,gene with protein product,
359,darkorange,ENSG00000119938,PPP1R3C,gene with protein product,
360,orange,ENSG00000160752,FDPS,gene with protein product,
361,brown,ENSG00000188338,SLC38A3,gene with protein product,
362,grey,ENSG00000197888,UGT2B17,gene with protein product,
363,grey,ENSG00000138029,HADHB,gene with protein product,
364,brown,ENSG00000188846,RPL14,gene with protein product,
365,orange,ENSG00000131069,ACSS2,gene with protein product,
366,turquoise,ENSG00000140107,SLC25A47,gene with protein product,
367,pink,ENSG00000142089,IFITM3,gene with protein product,
368,brown,ENSG00000198417,MT1F,gene with protein product,
369,grey60,ENSG00000134419,RPS15A,gene with protein product,
370,blue,ENSG00000257767,,,
371,brown,ENSG00000072080,SPP2,gene with protein product,
372,brown,ENSG00000117592,PRDX6,gene with protein product,
373,grey,ENSG00000141485,SLC13A5,gene with protein product,
374,turquoise,ENSG00000166825,ANPEP,gene with protein product,
375,pink,ENSG00000204444,APOM,gene with protein product,
376,yellow,ENSG00000162365,CYP4A22,gene with protein product,
377,yellow,ENSG00000066813,ACSM2B,gene with protein product,
378,yellow,ENSG00000117984,CTSD,gene with protein product,
379,yellow,ENSG00000184999,SLC22A10,gene with protein product,
380,greenyellow,ENSG00000019582,CD74,gene with protein product,
381,turquoise,ENSG00000167978,SRRM2,gene with protein product,
382,black,ENSG00000170315,UBB,gene with protein product,
383,turquoise,ENSG00000169439,SDC2,gene with protein product,
384,turquoise,ENSG00000115310,RTN4,gene with protein product,
385,green,ENSG00000152620,NADK2,gene with protein product,
386,grey,ENSG00000164237,CMBL,gene with protein product,
387,brown,ENSG00000131469,RPL27,gene with protein product,
388,darkmagenta,ENSG00000229807,XIST,"RNA, long non-coding",
389,yellow,ENSG00000110651,CD81,gene with protein product,
390,grey60,ENSG00000122026,RPL21,gene with protein product,
391,yellow,ENSG00000108515,ENO3,gene with protein product,
392,turquoise,ENSG00000114771,AADAC,gene with protein product,
393,blue,ENSG00000187097,ENTPD5,gene with protein product,
394,royalblue,ENSG00000142748,FCN3,gene with protein product,
395,greenyellow,ENSG00000204287,HLA-DRA,gene with protein product,
396,yellow,ENSG00000169710,FASN,gene with protein product,
397,grey,ENSG00000166035,LIPC,gene with protein product,
398,grey,ENSG00000137106,GRHPR,gene with protein product,
399,brown,ENSG00000182899,RPL35A,gene with protein product,
400,orange,ENSG00000171747,LGALS4,gene with protein product,
401,red,ENSG00000100219,XBP1,gene with protein product,
402,grey,ENSG00000151365,THRSP,gene with protein product,
403,white,ENSG00000081041,CXCL2,gene with protein product,
404,turquoise,ENSG00000138449,SLC40A1,gene with protein product,
405,grey,ENSG00000138413,IDH1,gene with protein product,
406,grey,ENSG00000205403,CFI,gene with protein product,Scavenger receptor cysteine rich domain containing
407,red,ENSG00000113790,EHHADH,gene with protein product,
408,white,ENSG00000115738,ID2,gene with protein product,
409,yellow,ENSG00000210164,MT-TG,"RNA, transfer",
410,green,ENSG00000111885,MAN1A1,gene with protein product,
411,brown,ENSG00000169714,CNBP,gene with protein product,
412,blue,ENSG00000285330,,,
413,yellow,ENSG00000129596,CDO1,gene with protein product,
414,brown,ENSG00000172809,RPL38,gene with protein product,
415,brown,ENSG00000183549,ACSM5,gene with protein product,
416,turquoise,ENSG00000143416,SELENBP1,gene with protein product,
417,grey,ENSG00000176153,GPX2,gene with protein product,
418,black,ENSG00000240801,,,
419,pink,ENSG00000137818,RPLP1,gene with protein product,
420,steelblue,ENSG00000170540,ARL6IP1,gene with protein product,
421,darkgreen,ENSG00000120738,EGR1,gene with protein product,
422,blue,ENSG00000084234,APLP2,gene with protein product,
423,turquoise,ENSG00000163683,SMIM14,gene with protein product,
424,red,ENSG00000148584,A1CF,gene with protein product,
425,grey,ENSG00000101323,HAO1,gene with protein product,
426,grey,ENSG00000197408,CYP2B6,gene with protein product,
427,brown,ENSG00000169567,HINT1,gene with protein product,
428,black,ENSG00000152558,TMEM123,gene with protein product,
429,turquoise,ENSG00000131781,FMO5,gene with protein product,
430,grey60,ENSG00000149273,RPS3,gene with protein product,
431,darkturquoise,ENSG00000175336,APOF,gene with protein product,
432,saddlebrown,ENSG00000211896,IGHG1,immunoglobulin gene,
433,brown,ENSG00000173812,EIF1,gene with protein product,
434,grey,ENSG00000173281,PPP1R3B,gene with protein product,
435,pink,ENSG00000124942,AHNAK,gene with protein product,
436,turquoise,ENSG00000280614,,,
437,turquoise,ENSG00000281181,,,
438,turquoise,ENSG00000280800,,,
439,green,ENSG00000112299,VNN1,gene with protein product,
440,turquoise,ENSG00000160932,LY6E,gene with protein product,
441,tan,ENSG00000108654,DDX5,gene with protein product,
442,blue,ENSG00000110955,ATP5F1B,gene with protein product,
443,turquoise,ENSG00000164050,PLXNB1,gene with protein product,
444,lightcyan,ENSG00000205358,MT1H,gene with protein product,
445,brown,ENSG00000196531,NACA,gene with protein product,
446,brown,ENSG00000196262,PPIA,gene with protein product,
447,cyan,ENSG00000159335,PTMS,gene with protein product,
448,grey,ENSG00000125166,GOT2,gene with protein product,
449,grey,ENSG00000186529,CYP4F3,gene with protein product,
450,orange,ENSG00000160285,LSS,gene with protein product,
451,red,ENSG00000134352,IL6ST,gene with protein product,
452,turquoise,ENSG00000168389,MFSD2A,gene with protein product,
453,lightgreen,ENSG00000265972,TXNIP,gene with protein product,
454,darkmagenta,ENSG00000084754,HADHA,gene with protein product,
455,turquoise,ENSG00000128641,MYO1B,gene with protein product,
456,blue,ENSG00000165795,NDRG2,gene with protein product,
457,blue,ENSG00000145675,PIK3R1,gene with protein product,
458,blue,ENSG00000184500,PROS1,gene with protein product,
459,grey,ENSG00000251562,MALAT1,"RNA, long non-coding",
460,turquoise,ENSG00000138030,KHK,gene with protein product,
461,grey60,ENSG00000156482,RPL30,gene with protein product,
462,yellow,ENSG00000186115,CYP4F2,gene with protein product,
463,turquoise,ENSG00000128311,TST,gene with protein product,
464,grey,ENSG00000164089,ETNPPL,gene with protein product,
465,darkgreen,ENSG00000210196,MT-TP,"RNA, transfer",
466,midnightblue,ENSG00000096384,HSP90AB1,gene with protein product,
467,grey,ENSG00000164344,KLKB1,gene with protein product,
468,royalblue,ENSG00000188257,PLA2G2A,gene with protein product,
469,grey,ENSG00000105852,PON3,gene with protein product,
470,yellow,ENSG00000074800,ENO1,gene with protein product,
471,pink,ENSG00000136942,RPL35,gene with protein product,
472,salmon,ENSG00000139269,INHBE,gene with protein product,
473,pink,ENSG00000092841,MYL6,gene with protein product,
474,blue,ENSG00000096060,FKBP5,gene with protein product,
475,blue,ENSG00000143418,CERS2,gene with protein product,
476,darkred,ENSG00000137642,SORL1,gene with protein product,
477,grey,ENSG00000140284,SLC27A2,gene with protein product,
478,green,ENSG00000140093,SERPINA10,gene with protein product,
479,white,ENSG00000176907,TCIM,gene with protein product,
480,darkorange,ENSG00000108179,PPIF,gene with protein product,
481,blue,ENSG00000170099,SERPINA6,gene with protein product,
482,salmon,ENSG00000161031,PGLYRP2,gene with protein product,
483,grey,ENSG00000167004,PDIA3,gene with protein product,
484,grey,ENSG00000116690,PRG4,gene with protein product,
485,grey60,ENSG00000204628,RACK1,gene with protein product,
486,brown,ENSG00000215472,RPL17-C18orf32,readthrough,
487,darkgreen,ENSG00000134824,FADS2,gene with protein product,
488,tan,ENSG00000112936,C7,gene with protein product,
489,turquoise,ENSG00000173638,SLC19A1,gene with protein product,
490,brown,ENSG00000161970,RPL26,gene with protein product,
491,brown,ENSG00000105372,RPS19,gene with protein product,
492,brown,ENSG00000145826,LECT2,gene with protein product,
493,grey,ENSG00000132840,BHMT2,gene with protein product,
494,blue,ENSG00000008513,ST3GAL1,gene with protein product,
